time,Germany,Greece,Italy,Netherlands,Sweden
2013-01,111.5,106.3,108.3,113.3,103.7
2013-02,111.5,106.1,107.6,114,103.2
2013-03,111.5,105.4,108.4,113,101.1
2013-04,110.2,105,108.1,112.7,100.4
2013-05,109.7,104.9,107.7,111.5,100.9
2013-06,108.1,105.1,106.7,109.6,101.4
2013-07,106.4,104.6,106.3,107,100.3
2013-08,105.8,104.2,104.9,107.3,98.2
2013-09,105.9,103.9,103.3,106.2,98.9
2013-10,105.5,103.3,103,107.3,98.4
2013-11,105.5,103.1,102.8,106.9,98.8
2013-12,105.3,103.2,102.3,106.9,100.5
2014-01,105.3,102.3,102,107.3,100.6
2014-02,105,101.8,102.7,106.5,99.1
2014-03,105,101.6,102.8,105.5,99.9
2014-04,105.8,101.3,102.2,105.4,98.4
2014-05,106.5,101.7,102.7,106.2,102.6
2014-06,107.2,101.5,103.9,105.6,103.6
2014-07,106.6,101.4,104.1,105.2,103.3
2014-08,106.6,101.6,104,104.9,104.6
2014-09,106.8,101.8,104.4,105.1,103.6
2014-10,106.4,102.7,105,105,104.2
2014-11,105.2,102.3,104.2,103.5,102.5
2014-12,104.6,101,103.6,102.8,102.5
2015-01,104.1,100.7,105.1,102.4,104.4
2015-02,103.6,101.4,105.6,102.5,104.5
2015-03,103.6,102.3,103.4,102.3,104.2
2015-04,102.8,102.6,103.4,102.2,103
2015-05,102.5,102.5,101.6,102.4,103
2015-06,102.3,101.2,102.7,102.2,101
2015-07,100.9,100.8,100.6,101.5,98.6
2015-08,99.6,100.3,99.4,100.7,98.8
2015-09,98,100,97.5,99.4,98.7
2015-10,95.9,98.2,96.2,95.9,95.6
2015-11,94,95.5,93.3,94.8,94.4
2015-12,93,94.5,91.2,93.6,93.8
2016-01,90.1,93,88.6,91.2,89.8
2016-02,89,92.7,87,90.1,89.3
2016-03,88.7,94.2,86,90.8,89.1
2016-04,90.7,97,87.4,93.1,88.2
2016-05,92.6,98.4,87.4,95.7,88.7
2016-06,94.4,99.2,88.2,97.7,91.8
2016-07,95.9,100,89.3,102.8,94.3
2016-08,96.5,98.3,89.4,101.3,95.4
2016-09,97.3,97.5,89.2,99.9,95.2
2016-10,97.7,98.1,90.7,101,97.7
2016-11,99.9,99,91.7,101.8,99.4
2016-12,101.9,100,94.1,103.4,101.9
2017-01,108.5,100.6,97.4,110.1,106
2017-02,111.7,102.6,102.4,112.7,106.9
2017-03,112.7,104.7,104.1,113.5,108.2
2017-04,114.7,104.6,104.2,116.9,112.1
2017-05,114.5,103.8,104.1,116.3,112.4
2017-06,112.9,103.2,102.8,115.2,112.3
2017-07,112.2,104,102,113,110.3
2017-08,112.3,104.9,101.5,112.8,108.3
2017-09,113.5,104.9,101.4,114.7,110.7
2017-10,115.1,104.7,102.1,115.9,112.1
2017-11,115.3,104.6,102.9,116,113.8
2017-12,116.4,106.4,103.4,116.8,116.5
2018-01,118.3,107.7,103.1,117.7,118
2018-02,119.4,108.3,103.4,118.3,117.3
2018-03,120.6,108.7,103.7,119.7,121
2018-04,122.1,109.5,104.6,120.6,123.8
2018-05,122.6,109.7,105.2,120.8,126.4
2018-06,123.3,110.2,104.9,121.1,127.4
2018-07,124.4,110.2,105.3,122.1,127.6
2018-08,124.2,110,105.9,121.4,128.6
2018-09,124.1,109.1,106.4,121.9,130.7
2018-10,123.1,109.3,106.7,122.8,129.3
2018-11,122.8,109.4,106.2,122,128.1
2018-12,121.9,109.9,105,120.3,126.4
2019-01,120.2,109,103.3,119.6,125.6
2019-02,119.3,109,101.9,119.2,124.1
2019-03,118.5,106.8,102,118.5,127.4
2019-04,118.4,106.3,102.1,118.9,126.9
2019-05,117.8,105.8,102.7,119,127.7
2019-06,116.4,106,102.5,118,128.4
2019-07,114.8,105.7,101.8,116.8,125.8
2019-08,114.3,105.5,101.8,116.2,125.3
2019-09,114.6,105.5,101.7,115.9,127
2019-10,114.4,103.3,101.6,113.3,126.4
2019-11,112.4,102.6,100.8,113.6,125.3
2019-12,111,102.9,99.1,112,123.7
2020-01,109.4,102.7,98.5,112,119.1
2020-02,109.6,102.9,98.1,111.5,119.2
2020-03,109.2,102.1,97.9,111.9,118.5
2020-04,109.1,101.3,97.7,111.3,122.5
2020-05,108.7,100.5,97.5,109.9,119.9
2020-06,107.4,99.2,96.7,109,117.2
2020-07,105.9,99,95.2,107.8,114.4
2020-08,105,98.8,94.6,107.9,114.7
2020-09,106.2,98.5,94.5,108,114.9
2020-10,107.5,99,95.4,109.5,115.9
2020-11,109.3,99.4,96.5,110.6,115.9
2020-12,111.4,101.2,97.7,113,117.6
2021-01,119.3,103.9,99.6,123.3,121.5
2021-02,124.7,105.3,103.3,125.7,127.4
2021-03,128.6,107.2,108.3,129.6,129.3
2021-04,137.2,110.7,115.1,140.3,137.9
2021-05,143.9,112.8,119.2,143.6,142.4
2021-06,151.3,114.4,123.3,148.3,147.8
2021-07,161,116.9,127.1,165.2,166
2021-08,165.6,122.8,132.9,169.5,173.3
2021-09,170.9,124.4,134.2,172.2,181.1
2021-10,172.9,126,133.4,185.1,185.1
2021-11,175.1,125.8,137.3,183,187.3
2021-12,178.8,125.6,137.8,182.3,189.5
2022-01,185.6,125.8,138.9,189.2,189.4
2022-02,191,125.5,139.4,189.6,196.7
2022-03,205.8,126.3,144.3,201.4,210.9
2022-04,216.8,128.3,147.5,220.1,232.5
2022-05,222.7,131.9,150,227.2,243.4
2022-06,213.3,137,153.2,218.4,237.6
2022-07,202.3,136.9,154.8,211.4,234.4
2022-08,196.6,140.3,151.7,202.6,220.6
2022-09,194.4,138.5,148.9,195.3,217.7
2022-10,187.2,138.7,146.4,186.1,211
2022-11,183.5,132.6,143.1,180.8,203.2
2022-12,180.8,132.3,142.5,176,201.5
2023-01,178.1,131.8,139.3,169.5,193
2023-02,178.2,131.8,136.8,168.5,200.3
2023-03,178.6,131.4,137.3,172.8,196.3
2023-04,176.2,131.9,138.8,172.4,204.3
2023-05,172,133.1,138.4,170.8,200.9
2023-06,166.6,131,134.6,165.6,201.1
2023-07,161.3,130,130.2,157.8,197.1
2023-08,158.9,129.6,126.6,155.3,189.3
2023-09,157,:,:,153.3,190.2
